epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,22446.4,0.78152,1.00481,1.25544,0.77264,0.78474,0.84587,0.65834,0.87846,0.74159,1.34678,0.005842,0.005842,0.005842
44,22966,0.781,0.9983,1.25408,0.7759,0.78377,0.84682,0.65982,0.87707,0.73854,1.34536,0.005743,0.005743,0.005743
45,23486,0.77595,0.99615,1.25263,0.77498,0.78736,0.84734,0.66003,0.87517,0.73723,1.34346,0.005644,0.005644,0.005644
46,24005.8,0.77546,0.99011,1.25106,0.77113,0.79041,0.84805,0.66081,0.87385,0.73556,1.34199,0.005545,0.005545,0.005545
47,24525.3,0.77688,0.98972,1.25273,0.76689,0.79423,0.84885,0.66127,0.87339,0.73367,1.34128,0.005446,0.005446,0.005446
48,25045.3,0.77555,0.98597,1.25032,0.75727,0.80569,0.84977,0.66196,0.87263,0.73198,1.34046,0.005347,0.005347,0.005347
49,25564.8,0.7698,0.98076,1.24723,0.77027,0.78901,0.85037,0.66278,0.87147,0.72975,1.33916,0.005248,0.005248,0.005248
50,26084.3,0.76868,0.97897,1.24668,0.76455,0.78983,0.85128,0.66315,0.87055,0.72671,1.33814,0.005149,0.005149,0.005149
51,26604.6,0.76909,0.97694,1.2481,0.76094,0.7956,0.85262,0.66546,0.8696,0.72352,1.33705,0.00505,0.00505,0.00505
52,27125,0.77019,0.97476,1.24612,0.76386,0.80121,0.85388,0.66647,0.86934,0.72189,1.33651,0.004951,0.004951,0.004951
53,27645.5,0.76461,0.96877,1.24305,0.76646,0.80414,0.85469,0.66712,0.86829,0.72011,1.33581,0.004852,0.004852,0.004852
54,28165,0.76451,0.96855,1.2425,0.77151,0.79877,0.85535,0.66755,0.86761,0.71777,1.33518,0.004753,0.004753,0.004753
55,28684.8,0.76339,0.9623,1.24411,0.77279,0.7984,0.8553,0.66734,0.8669,0.71348,1.3348,0.004654,0.004654,0.004654
56,29204,0.7626,0.96076,1.24328,0.766,0.8116,0.85553,0.66786,0.86585,0.7116,1.33399,0.004555,0.004555,0.004555
57,29723.9,0.7594,0.95663,1.23999,0.79843,0.77871,0.85684,0.66788,0.86418,0.70949,1.33218,0.004456,0.004456,0.004456
58,30243.8,0.76111,0.95594,1.24102,0.78712,0.78858,0.85799,0.67042,0.86286,0.70811,1.33088,0.004357,0.004357,0.004357
59,30763.5,0.75742,0.95316,1.23962,0.78399,0.80101,0.85848,0.6704,0.86277,0.70735,1.33116,0.004258,0.004258,0.004258
60,31283.4,0.75703,0.94861,1.23893,0.7851,0.79722,0.85867,0.67085,0.86114,0.70532,1.33014,0.004159,0.004159,0.004159
61,31804.1,0.7594,0.94646,1.24118,0.77431,0.80267,0.85939,0.67246,0.86003,0.70329,1.32909,0.00406,0.00406,0.00406
62,32323.5,0.75336,0.93897,1.23683,0.78847,0.79177,0.86056,0.67349,0.85917,0.7008,1.32789,0.003961,0.003961,0.003961
63,32843.2,0.75108,0.93906,1.23649,0.78902,0.79595,0.86085,0.67309,0.85876,0.69748,1.3278,0.003862,0.003862,0.003862
64,33363.3,0.75273,0.93303,1.23538,0.77982,0.80359,0.86132,0.67448,0.85776,0.69596,1.32724,0.003763,0.003763,0.003763
65,33882.8,0.74769,0.92543,1.23266,0.78072,0.804,0.86125,0.67527,0.8571,0.69365,1.32641,0.003664,0.003664,0.003664
66,34402.5,0.74753,0.92478,1.23263,0.76714,0.81317,0.86234,0.6756,0.85691,0.69181,1.32647,0.003565,0.003565,0.003565
67,34922.1,0.74678,0.91957,1.23022,0.77062,0.81791,0.86372,0.67608,0.85591,0.68967,1.32495,0.003466,0.003466,0.003466
68,35440.7,0.74339,0.91867,1.22905,0.77158,0.81701,0.86426,0.67682,0.85612,0.68782,1.32547,0.003367,0.003367,0.003367
69,35960.5,0.74222,0.91264,1.22783,0.77761,0.81519,0.86423,0.67734,0.85485,0.68605,1.32389,0.003268,0.003268,0.003268
70,36481,0.74089,0.91153,1.22613,0.78527,0.80877,0.86492,0.67769,0.85433,0.68268,1.32336,0.003169,0.003169,0.003169
71,37000.3,0.74033,0.90583,1.22759,0.78669,0.80903,0.86586,0.67865,0.85303,0.68009,1.32191,0.00307,0.00307,0.00307
72,37519.7,0.73845,0.90227,1.2253,0.78851,0.808,0.86719,0.67936,0.85183,0.67884,1.32077,0.002971,0.002971,0.002971
73,38039.3,0.73692,0.90048,1.22498,0.78768,0.80877,0.86755,0.68046,0.8499,0.67771,1.31869,0.002872,0.002872,0.002872
74,38559,0.73345,0.89517,1.22351,0.78874,0.80794,0.86784,0.68141,0.84822,0.67457,1.31727,0.002773,0.002773,0.002773
75,39078.8,0.73038,0.89305,1.22245,0.79326,0.80265,0.86885,0.68224,0.84697,0.67174,1.31569,0.002674,0.002674,0.002674
76,39597.8,0.73083,0.8874,1.22162,0.79259,0.80364,0.86976,0.68306,0.84537,0.66821,1.314,0.002575,0.002575,0.002575
77,40118.1,0.72607,0.87555,1.21667,0.79422,0.80085,0.87036,0.68446,0.84492,0.66723,1.31359,0.002476,0.002476,0.002476
78,40637.2,0.72814,0.87799,1.219,0.7984,0.80329,0.87114,0.68612,0.84391,0.66471,1.31249,0.002377,0.002377,0.002377
79,41156.3,0.72429,0.87862,1.21716,0.79797,0.80442,0.87172,0.68603,0.84223,0.66233,1.31056,0.002278,0.002278,0.002278
80,41676.2,0.72476,0.87007,1.2176,0.79768,0.81047,0.87287,0.68689,0.8416,0.6589,1.31002,0.002179,0.002179,0.002179
81,42196,0.72113,0.86309,1.21591,0.80026,0.80635,0.87278,0.68711,0.84056,0.65856,1.30949,0.00208,0.00208,0.00208
82,42715.5,0.7195,0.86051,1.21423,0.80672,0.80007,0.87323,0.6877,0.83942,0.65672,1.30843,0.001981,0.001981,0.001981
83,43235.1,0.7197,0.8584,1.21387,0.8116,0.7979,0.87346,0.68951,0.83866,0.65582,1.30795,0.001882,0.001882,0.001882
84,43755,0.71331,0.85142,1.21033,0.81339,0.79764,0.87445,0.69156,0.83849,0.65439,1.30811,0.001783,0.001783,0.001783
85,44274.9,0.7119,0.84737,1.20908,0.81399,0.79938,0.87354,0.69071,0.83861,0.65151,1.30834,0.001684,0.001684,0.001684
86,44793.9,0.70997,0.84446,1.20956,0.81688,0.79917,0.87494,0.69168,0.83907,0.64958,1.30888,0.001585,0.001585,0.001585
87,45314.3,0.70651,0.83675,1.20688,0.82399,0.79781,0.87558,0.69393,0.83864,0.64743,1.30844,0.001486,0.001486,0.001486
88,45834.8,0.70505,0.83251,1.20608,0.82682,0.79628,0.87517,0.69449,0.83853,0.64607,1.30787,0.001387,0.001387,0.001387
89,46354.6,0.701,0.82729,1.20256,0.83191,0.794,0.87612,0.69568,0.83759,0.64462,1.30636,0.001288,0.001288,0.001288
90,46874.5,0.69949,0.82177,1.20138,0.83171,0.79095,0.877,0.69627,0.83678,0.64443,1.30501,0.001189,0.001189,0.001189
91,47437.3,0.71062,0.59481,1.30795,0.83207,0.79009,0.87845,0.69711,0.83537,0.6426,1.30411,0.00109,0.00109,0.00109
92,47947.4,0.69919,0.57256,1.29632,0.80322,0.81178,0.87889,0.69785,0.83419,0.64039,1.30325,0.000991,0.000991,0.000991
93,48457.3,0.69197,0.56446,1.28987,0.80535,0.81571,0.87943,0.69915,0.83116,0.63808,1.30071,0.000892,0.000892,0.000892
94,48967.2,0.68528,0.5537,1.28408,0.80556,0.82384,0.88019,0.70046,0.82873,0.63619,1.29849,0.000793,0.000793,0.000793
95,49476.6,0.68231,0.54333,1.28181,0.80414,0.82269,0.88086,0.70175,0.82656,0.63413,1.29634,0.000694,0.000694,0.000694
96,49986.7,0.67612,0.53322,1.27772,0.79823,0.82305,0.88149,0.70236,0.82529,0.63301,1.29517,0.000595,0.000595,0.000595
97,50497.4,0.67426,0.52433,1.27566,0.80976,0.81153,0.88231,0.70207,0.82419,0.63006,1.29395,0.000496,0.000496,0.000496
98,51007.7,0.66931,0.51604,1.27038,0.83484,0.79376,0.8835,0.70268,0.82333,0.62809,1.29349,0.000397,0.000397,0.000397
99,51517.5,0.66347,0.50755,1.26744,0.83536,0.79755,0.88447,0.70435,0.82127,0.62614,1.29155,0.000298,0.000298,0.000298
100,52027.3,0.66156,0.50079,1.26458,0.83786,0.79572,0.8849,0.70632,0.82004,0.62399,1.29049,0.000199,0.000199,0.000199
